subject_title,subject_description,subject_followers,course_title,start_date,effort,absolute_course_url
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,A Life of Happiness and Fulfillment,"
              4th May, 2020
            ",,https://www.classcentral.com/course/happiness-2860
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Academic Writing,"
              13th Jan, 2020
            ",,https://www.classcentral.com/course/swayam-academic-writing-13881
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,English in Early Childhood: Language Learning and Development,"
              22nd Jun, 2020
            ",,https://www.classcentral.com/course/english-in-early-childhood-6910
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,How to Succeed at: Writing Applications,"
              18th May, 2020
            ",,https://www.classcentral.com/course/writing-applications-2248
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Modern & Contemporary American Poetry (“ModPo”),,,https://www.classcentral.com/course/modpo-356
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Introduction to Dutch,"
              8th Jun, 2020
            ",,https://www.classcentral.com/course/dutch-3014
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,HOPE: Human Odyssey to Political Existentialism,,,https://www.classcentral.com/course/edx-hope-human-odyssey-to-political-existentialism-11584
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Basic Spanish 1: Getting Started,,,https://www.classcentral.com/course/edx-basic-spanish-1-getting-started-3698
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Introduction to Philosophy,"
              27th Apr, 2020
            ",,https://www.classcentral.com/course/introphil-418
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Tsinghua Chinese: Start Talking with 1.3 Billion People,,,https://www.classcentral.com/course/edx-tsinghua-chinese-start-talking-with-1-3-billion-people-5426
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Literature of the English Country House,"
              4th May, 2020
            ",,https://www.classcentral.com/course/country-house-literature-2028
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Basic Spanish 2: One Step Further,,,https://www.classcentral.com/course/edx-basic-spanish-2-one-step-further-8672
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Shakespeare Matters,,,https://www.classcentral.com/course/edx-shakespeare-matters-8731
Humanities Courses,"Learn Humanities with free online courses and MOOCs from Indian School of Business, H.N.B Garhwal University (A Central University) Srinagar Garhwal, The University of Sheffield, University of Pennsylvania and other top universities around the world. Read reviews to decide if a class is right for you.",228.4k,Moralities of Everyday Life,"
              20th Apr, 2020
            ",,https://www.classcentral.com/course/moralities-911
